Date,Open,High,Low,Close,"Trend Supertrend (7,3)","MACD (12,26,9)","Signal MACD (12,26,9)","MACD (12,26,9)_hist",Volume
Apr 08 2019,220.87,227.65,216.35,222.32,243.2,-7.25,-9.8,2.54,29205718
Apr 15 2019,221.6,241.45,221.6,233.6,243.2,-5.61,-8.96,3.35,94956955
Apr 22 2019,227.6,243.05,227.6,236.89,243.2,-4,-7.97,3.97,49105580
Apr 29 2019,232.24,240.75,231.35,236.05,243.2,-2.76,-6.93,4.17,16612300
May 06 2019,234.15,240,224.75,231.4,243.2,-2.13,-5.97,3.84,24093838
May 13 2019,232.77,232.77,214.3,222.36,243.2,-2.33,-5.24,2.91,24281709
May 20 2019,227.57,230.7,219.25,226.56,243.2,-2.12,-4.62,2.49,24097839
May 27 2019,227.07,247.7,227.07,235.86,243.2,-1.19,-3.93,2.74,57394627
Jun 03 2019,231.46,256.2,231.46,246.05,193.49,0.36,-3.07,3.43,29078325
Jun 10 2019,238.76,252.75,238.2,245.65,196.09,1.54,-2.15,3.69,18553295
Jun 17 2019,242.2,250.1,235.45,241.07,196.09,2.08,-1.31,3.38,35391601
Jun 24 2019,241.64,248,237.75,241.24, ,2.49,-0.55,3.04,27055334
Jul 01 2019,241.44,241.44,225.6,233.1,196.82,2.14,-0.01,2.15,18451144
Jul 08 2019,237.27,237.27,212.95,220.32,196.82,0.82,0.16,0.66,30422405
Jul 15 2019,228.8,228.8,202.15,210.86,196.82,-0.98,-0.07,-0.91,40239814
Jul 22 2019,219.83,219.83,190.25,200.28,196.82,-3.22,-0.7,-2.52,45210778
Jul 29 2019,210.05,210.05,180.1,188.7,258.71,-5.86,-1.73,-4.13,45629704
Aug 05 2019,199.38,199.38,177.85,187.43,252.38,-7.97,-2.98,-4.99,46399283
Aug 12 2019,193.4,196.2,180.4,188.99,249.73,-9.41,-4.27,-5.14,36152166
Aug 19 2019,191.19,191.19,162.45,177.63,241.79,-11.33,-5.68,-5.65,48951579
Aug 26 2019,184.41,184.41,166.85,172.78,238.84,-13.09,-7.16,-5.93,73949196
Sep 02 2019,178.59,184.25,163.85,174.8,236.98,-14.17,-8.56,-5.6,58263924
Sep 09 2019,176.7,187.75,176.7,183.2,236.98,-14.17,-9.68,-4.49,27563591
Sep 16 2019,179.95,187.15,173.6,181.99,236.98,-14.11,-10.57,-3.54,53818513
Sep 23 2019,180.97,193.15,174.3,185.45,236.98,-13.63,-11.18,-2.45,56447792
Sep 30 2019,183.21,185.5,166.9,176.3,232.82,-13.83,-11.71,-2.12,42503991
Oct 07 2019,179.75,179.75,167.75,172.06,227.43,-14.16,-12.2,-1.96,23121722
Oct 14 2019,175.91,191.25,172.7,182.25,227.43,-13.45,-12.45,-1,38516943
Oct 21 2019,179.08,196.45,179.08,190.28,227.43,-12.1,-12.38,0.28,31527919
Oct 28 2019,184.68,195.7,184.35,190.16,227.43,-10.91,-12.09,1.18,25187101
Nov 04 2019,187.42,202.3,187.42,194.4,227.43,-9.52,-11.57,2.06,35369721
Nov 11 2019,190.91,200.75,185.25,191.4,227.43,-8.56,-10.97,2.41,25147940
Nov 18 2019,191.15,191.15,180.55,184.95,227.43,-8.22,-10.42,2.2,23174112
Nov 25 2019,188.05,193.55,180.95,187.09,227.43,-7.7,-9.88,2.18,29568122
Dec 02 2019,187.57,191.45,175.65,183.45,227.43,-7.48,-9.4,1.91,23638535
Dec 09 2019,185.51,185.51,169.75,177.28,223.88,-7.73,-9.06,1.34,30876266
Dec 16 2019,181.39,187.45,176.75,182.88,223.88,-7.38,-8.73,1.34,18253460
Dec 23 2019,182.13,190.25,179.95,185.95,223.88,-6.78,-8.34,1.56,23456057
Dec 30 2019,184.04,197.55,184.04,192.1,223.88,-5.74,-7.82,2.07,34090199
Jan 06 2020,188.07,194.7,182.1,190.39,223.88,-5,-7.26,2.25,43247048
Jan 13 2020,189.23,199.35,189.23,192.95,223.88,-4.16,-6.64,2.48,33067634
Jan 20 2020,191.09,194.55,174.6,185.15,223.88,-4.08,-6.12,2.05,60550972
Jan 27 2020,188.12,188.12,155.8,168.13,222.43,-5.32,-5.96,0.64,97517182
Feb 03 2020,178.12,178.12,156.9,164.29,219.87,-6.54,-6.08,-0.46,55185232
Feb 10 2020,171.2,171.2,158.95,164.46,215.21,-7.41,-6.34,-1.06,77907439
Feb 17 2020,167.83,167.83,149.75,159.59,209.51,-8.39,-6.75,-1.64,81510280
Feb 24 2020,163.71,163.71,151.5,157.95,206.31,-9.2,-7.24,-1.96,60607752
Mar 02 2020,160.83,164.95,151.25,156.78,205.72,-9.82,-7.76,-2.06,61816050
Mar 09 2020,158.8,158.8,108.4,138.11,196.02,-11.68,-8.54,-3.14,128946779
Mar 16 2020,148.46,148.46,106.75,125.04,196.02,-14.05,-9.65,-4.41,113860945
Mar 23 2020,136.75,136.75,103.95,111.85,195.58,-16.8,-11.08,-5.72,82920105
Mar 30 2020,124.3,127.1,111.95,118.46,190.55,-18.24,-12.51,-5.73,47125248
Apr 06 2020,121.38,128.15,121.38,125.13,189.79,-18.62,-13.73,-4.89,20354399
Apr 13 2020,123.25,137.2,123.1,129.84,189.79,-18.33,-14.65,-3.68,38011639
Apr 20 2020,126.55,134.65,119.75,127.7,186.54,-18.07,-15.33,-2.73,38500038
Apr 27 2020,127.12,134.2,119.2,127.6,183.99,-17.67,-15.8,-1.86,31848836
May 04 2020,127.36,132,113.3,122.13,179.77,-17.58,-16.16,-1.43,48621361
May 11 2020,124.74,124.74,110.05,114.14,172.66,-17.96,-16.52,-1.44,37882387
May 18 2020,119.44,119.44,105.8,109.81,165.83,-18.39,-16.89,-1.5,55276759
May 25 2020,114.63,127.2,109.75,118.4,165.83,-17.83,-17.08,-0.75,36358449
Jun 01 2020,116.51,134.5,116.51,128.76,165.83,-16.37,-16.94,0.57,67614469
Jun 08 2020,122.64,133.7,117.45,125.82,165.83,-15.27,-16.6,1.34,44816061
Jun 15 2020,124.23,124.75,112.9,119.78,165.83,-14.72,-16.23,1.51,76476685
Jun 22 2020,122,131.5,121.85,125.55,165.83,-13.65,-15.71,2.06,82954634
Jun 29 2020,123.78,125.6,116.15,121.76,165.83,-12.97,-15.16,2.19,49406267
Jul 06 2020,122.77,122.77,112.95,118.05,161.1,-12.58,-14.65,2.07,68133863
Jul 13 2020,120.41,120.41,109.35,114.61,156.68,-12.41,-14.2,1.79,45138361
Jul 20 2020,117.51,121.45,114.75,117.7,156.68,-11.88,-13.74,1.85,55062002
Jul 27 2020,117.61,117.61,112.3,114.97,150.49,-11.55,-13.3,1.74,27431790
Aug 03 2020,116.29,116.45,112.85,114.61,146.65,-11.19,-12.88,1.68,33144127
Aug 10 2020,115.45,119,113.05,115.93,146.01,-10.68,-12.44,1.76,54727274
Aug 17 2020,115.69,126.55,115.69,121.54,146.01,-9.71,-11.89,2.18,80560983
Aug 24 2020,118.61,128.7,118.61,125.34,146.01,-8.53,-11.22,2.69,54903700
Aug 31 2020,121.98,126.9,115.45,120.89,146.01,-7.87,-10.55,2.68,73318736
Sep 07 2020,121.43,121.43,109.4,113.89,146.01,-7.82,-10,2.19,53786288
Sep 14 2020,117.66,117.66,107.65,109.6,144.08,-8.03,-9.61,1.58,59611218
Sep 21 2020,113.63,113.63,98.65,104.45,139.49,-8.52,-9.39,0.87,60865928
Sep 28 2020,109.04,109.04,99.4,102.59,136.94,-8.95,-9.3,0.35,45510058
Oct 05 2020,105.81,105.81,97.05,100.91,133.23,-9.32,-9.31,-0.01,58926141
Oct 12 2020,103.36,103.36,94.3,97.68,129.97,-9.76,-9.4,-0.37,65028787
Oct 19 2020,100.52,102.95,96,99.66,129.15,-9.84,-9.49,-0.35,80617361
Oct 26 2020,100.09,102.65,95.3,99.89,127.56,-9.77,-9.54,-0.23,60785349
Nov 02 2020,99.99,107.15,98.3,102.84,127.56,-9.37,-9.51,0.14,66301868
Nov 09 2020,101.41,112.25,101.41,109.29,127.56,-8.43,-9.29,0.86,109941172
Nov 16 2020,105.35,114.05,104.9,109.55,127.56,-7.58,-8.95,1.37,86073605
Nov 23 2020,107.45,112.15,104.5,108.24,127.56,-6.93,-8.55,1.61,97273524
Nov 30 2020,107.84,119.7,107.84,114.49,127.56,-5.85,-8.01,2.16,75213503
Dec 07 2020,111.17,125.45,111.17,121.01,127.56,-4.41,-7.29,2.88,96835014
Dec 14 2020,116.09,130.75,116.09,126.36,127.56,-2.81,-6.39,3.58,96504783
Dec 21 2020,121.23,126.25,114.1,121.88,127.56,-1.88,-5.49,3.61,61999716
Dec 28 2020,121.55,124.65,118.95,122.09,127.56,-1.11,-4.61,3.5,72781950
Jan 04 2021,121.82,125.7,118.55,122.58,127.56,-0.46,-3.78,3.32,83437528
Jan 11 2021,122.2,133.55,122.2,127.96,97.57,0.49,-2.93,3.42,99780989
Jan 18 2021,125.08,128.65,117.25,122.98,97.57,0.83,-2.18,3,63496888
Jan 25 2021,124.03,124.03,110,115.14,97.57,0.46,-1.65,2.11,49034767
Feb 01 2021,119.58,129.05,110.6,119.1,97.57,0.48,-1.23,1.7,104459111
Feb 08 2021,119.34,128.2,117.5,122.53,97.57,0.76,-0.83,1.59,59703744
Feb 15 2021,120.93,127.95,116.75,121.99,97.57,0.93,-0.48,1.41,76256967
Feb 22 2021,121.46,147.75,119.85,132.04,97.57,1.86,-0.01,1.87,258052115
Mar 01 2021,126.75,142.05,126.75,138.15,97.57,3.05,0.6,2.45,91967987
Mar 08 2021,132.45,140.75,132.45,136.97,97.57,3.85,1.25,2.6,58973509
Mar 15 2021,134.71,134.71,118.25,125.83,97.57,3.55,1.71,1.84,90893233
Mar 22 2021,130.27,130.27,111.8,117.71,97.57,2.63,1.9,0.73,59302048
Mar 29 2021,123.99,123.99,114.75,116.65,97.57,1.79,1.87,-0.09,41711375
Apr 05 2021,120.32,120.32,112.8,115.55,97.57,1.02,1.7,-0.68,40839570
Apr 12 2021,117.94,117.94,108.35,112.31,97.57,0.15,1.39,-1.24,38426995
Apr 19 2021,115.12,115.12,108.15,110.35,97.57,-0.69,0.98,-1.66,32378376
Apr 26 2021,112.74,119.35,111.25,115.23,97.57,-0.95,0.59,-1.54,50899446
May 03 2021,113.98,122.75,113.98,119.51,97.57,-0.8,0.31,-1.11,45344298
May 10 2021,116.75,144.45,116.75,129.93,97.57,0.15,0.28,-0.13,177779764
May 17 2021,123.34,137.25,123.34,132.43,97.57,1.1,0.45,0.66,87364648
May 24 2021,127.88,134.75,127.88,132.03,97.57,1.8,0.72,1.08,75106240
May 31 2021,129.95,139.15,129.8,134.65,98.31,2.53,1.08,1.45,70494066
Jun 07 2021,132.3,149.75,132.3,143.86,102.55,3.82,1.63,2.19,147576816
Jun 14 2021,138.08,148.75,129.85,139.63,102.55,4.44,2.19,2.25,115696478
Jun 21 2021,138.85,138.85,128.25,131.96,102.55,4.26,2.6,1.66,55845638
Jun 28 2021,135.41,135.41,128.7,131.68,102.55,4.06,2.89,1.16,69187574
Jul 05 2021,133.54,135.45,130.05,132.43,102.55,3.91,3.1,0.81,43361387
Jul 12 2021,132.98,134.15,130.05,131.51,102.55,3.67,3.21,0.46,35021653
Jul 19 2021,132.25,132.25,126.45,129.05,102.55,3.25,3.22,0.03,19622799
Jul 26 2021,130.65,130.65,125.8,128.21,102.55,2.82,3.14,-0.32,35267677
Aug 02 2021,129.43,133.2,126.95,130.01,104.21,2.59,3.03,-0.44,37702073
Aug 09 2021,129.72,132.6,125.5,129.71,104.21,2.36,2.89,-0.54,52506195
Aug 16 2021,129.72,129.72,119.75,124.39,104.21,1.72,2.66,-0.94,35505230
Aug 23 2021,127.05,127.05,117.5,121.5,104.21,0.98,2.32,-1.35,34302716
Aug 30 2021,124.28,131.9,123.35,127.43,104.21,0.85,2.03,-1.18,54573100
Sep 06 2021,125.85,135.7,125.85,132.68,104.21,1.16,1.86,-0.69,36580739
Sep 13 2021,129.26,148.05,129.26,139.47,107.16,1.94,1.87,0.07,104826569
Sep 20 2021,134.37,154.75,134.37,145.95,108.83,3.04,2.11,0.93,93707402
Sep 27 2021,140.16,181.75,140.16,164.26,112.5,5.33,2.75,2.58,226090520
Oct 04 2021,152.21,188.55,152.21,176.96,113.28,8.07,3.81,4.26,153123700
Oct 11 2021,164.59,185.75,164.59,174.52,117.15,9.94,5.04,4.9,107089731
Oct 18 2021,169.56,173.7,160.05,165.99,117.15,10.6,6.15,4.45,77983196
Oct 25 2021,167.77,167.77,148.05,155.06,117.15,10.13,6.95,3.19,72219390
Nov 01 2021,161.42,161.42,148.55,153.06,117.15,9.49,7.46,2.03,37811855
Nov 08 2021,157.24,158.95,149.95,154.09,117.15,8.96,7.76,1.2,37178122
Nov 15 2021,155.66,155.66,137.75,144.31,117.15,7.66,7.74,-0.08,48364248
Nov 22 2021,149.99,149.99,133.85,139.75,117.15,6.2,7.43,-1.24,77869096
Nov 29 2021,144.87,145.45,136.1,141.68,117.15,5.13,6.97,-1.84,127164826
Dec 06 2021,143.27,143.27,132.85,136.04,117.15,3.78,6.33,-2.55,56207519
Dec 13 2021,139.65,139.65,130.75,134.26,117.15,2.55,5.58,-3.03,40071309
Dec 20 2021,136.96,136.96,123.9,129.7,117.15,1.18,4.7,-3.51,33180638
Dec 27 2021,133.33,134,128.65,130.8,117.15,0.19,3.8,-3.61,42761377
Jan 03 2022,132.06,142.2,131.75,136.91,117.15,-0.1,3.02,-3.12,75811803
Jan 10 2022,134.49,151.2,134.49,146.26,117.15,0.41,2.5,-2.08,59143699
Jan 17 2022,140.38,153,140.38,147.28,117.15,0.9,2.18,-1.28,58390939
Jan 24 2022,143.83,149.75,139.05,144.54,117.15,1.04,1.95,-0.9,37702085
Jan 31 2022,144.18,149.35,143.35,146.5,117.15,1.31,1.82,-0.51,29486159
Feb 07 2022,145.34,155.05,143.1,148.7,117.15,1.67,1.79,-0.12,82931349
Feb 14 2022,147.02,153,144.6,150.13,117.15,2.05,1.84,0.21,67629625
Feb 21 2022,148.57,149.65,133.75,144.88,117.15,1.91,1.86,0.05,63348506
Feb 28 2022,146.72,182.5,145.3,160.19,117.15,2.99,2.08,0.91,203665864
Mar 07 2022,153.46,176.75,153.46,168.94,117.15,4.51,2.57,1.94,124007791
Mar 14 2022,161.2,166.9,156.25,162.55,117.15,5.14,3.08,2.05,54280791
Mar 21 2022,161.87,173.65,161.87,167.34,121.09,5.95,3.66,2.29,72743636
Mar 28 2022,164.61,178.45,164.61,171.65,125.59,6.87,4.3,2.57,62993985
Apr 04 2022,168.13,183.55,168.13,175.61,129.86,7.82,5,2.82,105149337
Apr 11 2022,171.87,182.75,169.05,175.6,130.62,8.48,5.7,2.78,45518202
Apr 18 2022,173.74,193.75,169.35,180.34,132.28,9.27,6.41,2.86,178441282
Apr 25 2022,177.04,186.95,166.65,176.4,132.28,9.48,7.03,2.45,93859716
May 02 2022,176.72,176.72,163.6,169.97,132.28,9.02,7.42,1.59,66438044
May 09 2022,173.35,173.35,149.4,161.06,132.28,7.84,7.51,0.33,73153357
May 16 2022,167.2,172.25,152.6,162.45,132.28,6.94,7.39,-0.45,66716282
May 23 2022,164.83,173.4,162.5,168.3,132.28,6.63,7.24,-0.61,63841706
May 30 2022,166.56,185.75,166.56,175.89,132.28,6.91,7.17,-0.27,105807166
Jun 06 2022,171.23,186.7,171.23,182.29,132.28,7.56,7.25,0.31,65344971
Jun 13 2022,176.76,182.15,163.85,173.7,132.28,7.3,7.26,0.04,50756540
Jun 20 2022,175.23,175.23,159.5,164.46,132.28,6.28,7.06,-0.79,54876857
Jun 27 2022,169.85,175,161.35,167.28,132.28,5.63,6.78,-1.15,59706764
Jul 04 2022,168.56,176.65,162.75,170.49,132.28,5.31,6.48,-1.17,44431768
Jul 11 2022,169.52,180.9,169.52,176.33,132.28,5.47,6.28,-0.81,36240409
Jul 18 2022,172.92,185.15,172.92,181.21,134.13,5.92,6.21,-0.29,34045898
Jul 25 2022,177.07,197.2,177.07,188.7,140.01,6.8,6.33,0.47,47977386
Aug 01 2022,182.88,202,182.88,195.74,143.86,7.98,6.66,1.32,70472794
Aug 08 2022,189.31,211.55,189.31,201,149.26,9.23,7.17,2.06,68287487
Aug 15 2022,195.16,209.15,195.16,205.16,152.29,10.43,7.82,2.61,26980416
Aug 22 2022,200.16,216.75,198.8,207.65,157.35,11.46,8.55,2.91,56311778
Aug 29 2022,203.9,221.55,203.9,211.98,161.94,12.47,9.34,3.14,36030218
Sep 05 2022,207.94,225.25,207.94,218.9,165.64,13.68,10.2,3.48,39082466
Sep 12 2022,213.42,223.8,212.75,218.9,169.87,14.47,11.06,3.41,50780458
Sep 19 2022,216.16,218.55,205.75,211.9,169.87,14.37,11.72,2.65,29748029
Sep 26 2022,214.03,214.03,192.6,200.55,169.87,13.22,12.02,1.2,41600329
Oct 03 2022,207.29,218.85,197.05,207.03,169.87,12.68,12.15,0.53,49697009
Oct 10 2022,207.16,223.7,207.16,216.33,169.87,12.86,12.29,0.57,52736086
Oct 17 2022,211.74,227.75,211.74,222.49,169.87,13.34,12.5,0.84,40226050
Oct 24 2022,217.11,232.55,217.11,227.51,174.44,13.97,12.8,1.17,28206290
Oct 31 2022,222.31,234.35,222.31,230.41,179.98,14.53,13.14,1.39,44418941
Nov 07 2022,226.36,248.15,226.36,237.43,186.47,15.37,13.59,1.78,91902683
Nov 14 2022,231.89,241,212.95,226.89,186.47,15.01,13.87,1.14,60903810
Nov 21 2022,229.39,229.39,211.45,214.94,186.47,13.6,13.82,-0.22,36255281
Nov 28 2022,222.16,222.16,209.65,213.45,186.47,12.23,13.5,-1.27,55691678
Dec 05 2022,217.81,217.81,211.25,213.36,186.47,11,13,-2,27979968
Dec 12 2022,215.58,219.2,208.05,212.44,186.47,9.84,12.37,-2.53,30468412
Dec 19 2022,214.01,214.01,198.95,205.19,186.47,8.25,11.54,-3.3,22849744
Dec 26 2022,209.6,211.2,199,204.95,186.47,6.88,10.61,-3.73,17980400
Jan 02 2023,207.27,211.95,196.75,204.8,186.47,5.72,9.63,-3.91,38456611
Jan 09 2023,206.04,206.04,196.95,200.04,186.47,4.37,8.58,-4.21,30838274
Jan 16 2023,203.04,214,195.85,205.46,186.47,3.69,7.6,-3.91,42684458
Jan 23 2023,204.25,216.75,204.05,210.3,186.47,3.5,6.78,-3.28,23016260
Jan 30 2023,207.27,213.1,198.9,205.7,186.47,2.95,6.02,-3.07,53188585
Feb 06 2023,206.49,206.49,195.7,200.45,186.47,2.06,5.22,-3.16,26304513
Feb 13 2023,203.47,203.47,193.9,198.85,186.47,1.22,4.42,-3.21,42850599
Feb 20 2023,201.16,203.95,196.35,201.18,186.47,0.73,3.68,-2.96,30513094
Feb 27 2023,201.17,211.2,196.75,204.35,186.47,0.59,3.06,-2.48,33849910
Mar 06 2023,202.76,211.7,202.76,208.67,186.47,0.82,2.61,-1.8,16976446
Mar 13 2023,205.72,210.7,201.1,206.79,186.47,0.84,2.26,-1.42,33302173
Mar 20 2023,206.25,206.35,192.75,199.26,186.47,0.24,1.86,-1.61,29260782
Mar 27 2023,202.76,202.76,192.35,195.91,186.47,-0.49,1.39,-1.88,32032922
Apr 03 2023,199.33,209,198.55,203.21,186.47,-0.48,1.01,-1.49,18835574
Apr 10 2023,201.27,214.4,201.27,209.19,186.47,0.01,0.81,-0.8,16108657
Apr 17 2023,205.23,219.35,205.23,213.64,186.47,0.75,0.8,-0.05,26744150
Apr 24 2023,209.43,219.5,209.43,216.1,186.47,1.52,0.94,0.57,16717911
May 01 2023,212.77,223.7,212.77,220.41,186.47,2.44,1.24,1.2,18588509
May 08 2023,216.59,223.55,214.75,218.84,186.47,3.02,1.6,1.42,25704685
May 15 2023,217.71,228.45,217.71,222.76,188.88,3.75,2.03,1.72,22525264
May 22 2023,220.24,227.2,220.24,224.79,191.42,4.43,2.51,1.93,14983886
May 29 2023,222.51,232.65,212.85,221.86,191.42,4.69,2.94,1.75,100365992
Jun 05 2023,222.19,222.19,211.5,213.85,191.42,4.2,3.2,1,68832433
Jun 12 2023,218.02,218.02,211.4,213.19,191.42,3.71,3.3,0.41,31752401
Jun 19 2023,215.6,215.6,209.55,211.95,191.42,3.19,3.28,-0.09,28389054
Jun 26 2023,213.78,216.1,208,212.65,191.42,2.8,3.18,-0.38,39791364
Jul 03 2023,213.21,220.75,213.21,217.59,191.42,2.86,3.12,-0.26,30031683
Jul 10 2023,215.4,222.05,213.75,217.84,191.42,2.89,3.07,-0.18,55907366
Jul 17 2023,216.62,217.4,212.3,214.8,191.42,2.64,2.99,-0.35,23479026
Jul 24 2023,215.71,217.1,211.6,213.58,191.42,2.32,2.85,-0.54,38711356
Jul 31 2023,214.64,227.9,211.6,217.81,191.42,2.37,2.76,-0.38,87510629
Aug 07 2023,216.23,221.55,214.05,218.69,191.42,2.46,2.7,-0.24,72725793
Aug 14 2023,217.46,220.95,211.75,216.41,191.42,2.32,2.62,-0.3,23175272
Aug 21 2023,216.93,217.4,211.75,213.45,191.42,1.95,2.49,-0.54,22030196
Aug 28 2023,215.19,222,212.25,217.29,191.42,1.94,2.38,-0.44,35832739
Sep 04 2023,216.24,269.2,216.24,245.61,197.11,4.17,2.74,1.43,171897578
Sep 11 2023,230.93,268.95,230.93,263.88,197.11,7.33,3.66,3.67,74982403
Sep 18 2023,247.4,272.75,247.4,266.02,201.73,9.89,4.9,4.99,47133572
Sep 25 2023,256.71,282.25,256.71,274.29,208.53,12.44,6.41,6.03,54253819
Oct 02 2023,265.5,281.85,265.5,276.21,214.42,14.46,8.02,6.44,28115909
Oct 09 2023,270.86,295.6,267.8,281.73,219,16.31,9.68,6.63,65144584
Oct 16 2023,276.29,304.5,276.29,296.39,224.56,18.74,11.49,7.25,42945113
Oct 23 2023,286.34,301.9,286.34,296.39,231.02,20.44,13.28,7.16,34171648
Oct 30 2023,291.36,301.55,290.6,297.16,237.3,21.59,14.94,6.65,35000621
Nov 06 2023,294.26,321.45,294.26,308.43,245.82,23.15,16.58,6.57,57804503
Nov 13 2023,301.34,343.75,301.34,326.64,251.2,25.56,18.38,7.18,108431185
Nov 20 2023,313.99,338.5,313.99,333.19,254.59,27.68,20.24,7.44,55021135
Nov 27 2023,323.59,351.1,323.59,341.46,264.13,29.68,22.13,7.56,52005956
Dec 04 2023,332.53,362.5,332.53,352.88,271.92,31.83,24.07,7.76,75257909
Dec 11 2023,342.7,358.6,342.7,350.82,279.04,32.98,25.85,7.13,55775601
Dec 18 2023,346.76,371.8,342.3,357.09,283.03,34.01,27.48,6.53,84066380
Dec 25 2023,351.93,382.5,351.93,371.17,290.66,35.55,29.09,6.45,56969648
Jan 01 2024,361.55,395.85,361.55,383.84,298.38,37.36,30.75,6.61,71801376
Jan 08 2024,372.69,388.9,372.69,383.07,305.01,38.29,32.26,6.04,45203646
Jan 15 2024,377.88,401.5,368,387.7,305.43,38.96,33.6,5.36,83161142
Jan 22 2024,382.79,404.8,373.65,392.84,307.89,39.44,34.77,4.68,52786680
Jan 29 2024,387.81,422.9,387.81,406.77,320.6,40.49,35.91,4.58,99098182
Feb 05 2024,397.29,468.6,397.29,441.29,329.74,43.59,37.45,6.15,95497830
Feb 12 2024,419.29,487.6,419.29,463.66,335.71,47.32,39.42,7.9,106746354
Feb 19 2024,441.48,487.45,427.95,460.52,335.71,49.45,41.43,8.02,98438917
Feb 26 2024,451,451,429.65,443.01,335.71,49.15,42.97,6.18,46016159
Mar 04 2024,447.01,465.4,444.55,455.1,341.16,49.33,44.24,5.08,45325487
Mar 11 2024,451.05,462.85,401.2,435.07,341.16,47.3,44.85,2.45,79951693
Mar 18 2024,443.06,443.06,412.7,424.21,341.16,44.31,44.75,-0.43,44212048
Mar 25 2024,433.64,440.95,426.05,433.73,341.16,42.22,44.24,-2.02,37707502
Apr 01 2024,433.68,453.5,433.68,442.99,341.32,40.85,43.56,-2.72,45323198
Apr 08 2024,438.33,463.45,437.25,451.43,351.46,39.97,42.84,-2.87,38981995
